Fala
"['Roraima', 'verás', 'filho', 'foge', 'luta', 'povo', 'brasileiro', 'merece', 'respeito', 'Por', 'justiça', 'igualdade', 'social', 'corrupção', 'Roraima', 'desacorrentada', 'possamos', 'exercer', 'direito', 'constitucional', 'ir', 'vir', 'todas', 'famílias', 'roraimenses', 'Presidente']"
"['Presidente', 'história', 'ricos', 'contra', 'pobres', 'direita', 'contra', 'esquerda', 'Nação', 'contra', 'corrupção', 'Presidente']"
"['Presidente', 'contra', 'prosseguimento', 'processo', 'impedimento', 'Presidente', 'República']"
"['Presidente', 'querido', 'família', 'fizeram', 'chegar', 'médicos', 'respeitados', 'próximo', 'governo', 'maçons', 'bem', 'povo', 'brasileiro', 'Presidente']"
"['Presidente', 'favor', 'PMDB', 'favor', 'PT', 'consciência', 'povo', 'brasileiro', 'digo', 'Estado', 'Roraima', 'médicos', 'brasileiros', 'contra', 'corrupção']"
"['Por', 'Roraima', 'povo', 'brasileiro', 'ruas', 'pedindo', 'mudanças', 'melhor', 'podemos', 'desistir']"
"['Com', 'consciência', 'família', 'Roraima', 'Presidente']"
"['Pelo', 'resgate', 'esperança', 'roubada', 'povo', 'brasileiro', 'geração', 'próximas', 'gerações', 'Estado', 'Roraima']"
"['Em', 'nome', 'povo', 'gaúcho', 'povo', 'Estado', 'nome', 'povo', 'brasileiro', 'votarmos', 'favor', 'mudança', 'favor', 'esperança', 'impeachment']"
"['Pelo', 'legado', 'Getúlio', 'Jango', 'Brizola', 'democracia', 'Estado', 'Democrático', 'Direito', 'PDT', 'vota']"
"['Pelo', 'fim', 'populismo', 'irresponsável', 'corrupto', 'fim', 'vagabundização', 'remunerada', 'valorização', 'trabalho', 'produção', 'pesquisa', 'tecnologia', 'inovação']"
"['nojo', 'horror', 'golpismo', 'poder', 'édo', 'povo', 'povo', 'elegeu', 'Presidenta', 'Ela', 'honesta', 'pode', 'ser', 'afastada', 'processo', 'ilegítimo', 'conduzido', 'réu', 'Lava-Jato', 'Pela', 'democracia', 'País']"
"['Presidente', 'nome', 'famílias', 'gaúchas', 'nome', 'pessoas', 'trabalho', 'constroem', 'País']"
"['sangue', 'farroupilha', 'motivo', 'orgulho', 'orgulho', 'porque', 'Estado', 'defendeu', 'ideologias', 'sempre', 'lutou', 'Como', 'diz', 'hino', 'rio-grandense', 'povo', 'virtude', 'acaba', 'ser', 'escravo', 'Honrando', 'Rio', 'Grande', 'Sul', 'impeachment', 'Presidente']"
"['Presidente', 'Deputados', 'foi-me', 'dada', 'honra', 'povo', 'Rio', 'Grande', 'Sul', 'estar', 'nesta', 'Casa', 'carregando', 'esperança', 'todos', 'gaúchos']"
"['Pelos', 'direitos', 'crianças', 'jovens', 'mulheres', 'todos', 'brasileiros', 'Governo', 'decente', 'acima', 'tudo', 'esperança', 'brasileiros']"
"['Gente', 'bom', 'coração', 'amor', 'amor', 'bandeira', 'amor', 'vida', 'amor', '115.294', 'eleitores', 'fim', 'corrupção', 'Presidente']"
"['Pela', 'retomada', 'crescimento', 'econômico', 'social', 'bem']"
"['Contra', 'conspiração', 'corrupção', 'representadas', 'Eduardo', 'Cunha', 'Temer', 'contra', 'golpe', 'defesa', 'democracia', 'respeito', 'cidadão', 'brasileiro', 'toda', 'convicção', 'golpe', 'impeachment']"
"['Para', 'filho', 'filha', 'vão', 'chegar', 'vivam', 'país', 'futuro', 'Rio', 'Grande', 'impeachment']"
"['Com', 'consciência', 'tranquila', 'Rio', 'Grande']"
"['Que', 'responsabilidade', 'sabedoria', 'coletiva', 'paraenfrentar', 'momentos', 'virão']"
"['Em', 'homenagem', 'família', 'amigos', 'gaúchos', 'gaúchas', 'especialmente', 'povo', 'Cachoeira', 'Sul']"
