Deputado,Fala
Zeca do PT,"['Presidente', '1964', 'Casa', 'resolveu', 'tomar', 'mandato', 'legitimamente', 'eleito', 'João', 'Goulart', 'Tancredo', 'Neves', 'microfone', 'referiu', 'golpistas', 'traidores', 'canalhas', 'canalhas', 'canalhas', 'Portanto', 'homenagem', 'Tancredo', 'Neves', 'absolutamente', 'defesa', 'democracia', 'Estado', 'Direito', 'pobres', 'povos', 'indígenas', 'quilombolas', 'reforma', 'agrária']"
Alfredo Nascimento,"['Presidente', 'sabe', 'V.Exa', '.', 'presido', 'nacionalmente', 'Partido', 'República', 'Em', 'reunião', 'executiva', 'partido', 'realizada', 'forma', 'democrática', 'majoritariamente', 'partido', 'decidiu', 'encaminhar', 'Em', 'respeito', 'partido', 'respeito', 'colegas', 'Parlamentares', 'quero', 'comunicar', 'Casa', 'renuncio', 'mandato', 'Presidente', 'Nacional', 'Partido', 'República', 'porque', 'entendo', 'forma', 'diferente', 'Presidente', 'entendo', 'pertence', 'Governo', 'pertence', 'Oposição', 'pertence', 'partido', 'sequer', 'pertence', 'mim', 'pertence', 'povo', 'Amazonas', 'colocou', 'vida', 'pública', 'hámais', '30', 'anos', 'vida', 'pública', 'orgulho', 'majoritariamente', 'povo', 'Estado', 'Amazonas', 'vota', 'impedimento', 'Presidente']"
Arthur Virgílio Bisneto,"['Presidente', 'libertação', 'povo', 'brasileiro', 'responsabilidade', 'mandato', 'Estado', 'Amazonas', 'Manaus', 'razão', 'amor']"
Átila Lins,"['Presidente', 'família', 'povo', 'Estado', 'Amazonas', 'melhor', 'reencontrar', 'história']"
Conceição Sampaio,"['Presidente', 'gostaria', 'primeiro', 'lugar', 'agradecer', 'Deus', 'momento', 'pedir-lhe', 'misericórdia', 'Nação', 'Não', 'acho', 'final', 'desta', 'noite', 'vencidos', 'vencedores', 'quero', 'lembrar', 'frase', 'Platão', 'juiz', 'nomeado', 'fazer', 'favores', 'justiça', 'julgar', 'segundo', 'leis', 'Pelo', 'Amazonas']"
Hissa Abrahão,"['Presidente', 'Deputados', 'tentativa', 'clara', 'Estado', 'cidade', 'Manaus', 'parte', 'adversários', 'nunca', 'ter', 'dito', 'jogar', 'contra', 'povo', 'Deputados', 'Federais', 'votados', 'Capital', 'Amazonas', 'lado', 'povo', 'homem', 'coragem', 'aceito', 'pressão', 'nenhum', 'lados', 'Portanto', 'Manaus', 'povo']"
Marcos Rotta,"['Presidente', 'Manaus', 'Amazonas', 'voltem', 'acreditar', 'País', 'justo', 'decente', 'ordeiro', 'honesto', 'acima', 'tudo', 'democrático', 'muita', 'satisfação', 'orgulho']"
Pauderney Avelino,"['Por', 'nova', 'chance', 'reconhecendo', 'legitimidade', 'processo', 'constitucional', 'movendo', 'Amazonas']"
Silas Câmara,"['Presidente', 'reconstrução', 'unidade', 'Nação', 'tentaram', 'dividir', 'amor', 'carinho', 'povo', 'Amazonas', 'família', 'acima', 'tudo', 'amor', 'Deus']"
Expedito Netto,"['Presidente', 'gostaria', 'cumprimentar', 'todos', 'nobres', 'companheiros', 'encontram', 'todos', 'assistem', 'meios', 'comunicação', 'País', 'Quero', 'dizer', 'hoje', 'votando', 'impeachment', 'Presidente', 'Dilma', 'amanhã', 'estaremos', 'votando', 'Presidente', 'pode', 'ter', 'certeza', 'votarei', 'mesma', 'forma', 'hoje', 'Respeitando', 'povo', 'rondoniense', 'respeitando', 'povo', 'brasileiro', 'contra', 'corrupção', 'venha', 'partido', 'vier']"
Lindomar Garçon,"['Presidente', 'homenagem', 'Presidente', 'partido', 'Mauro', 'Pereira', 'homenagem', 'Porto', 'Velho', 'Candeias', 'Jamari', 'Itapuã', 'Oeste', 'Jorge', 'Teixeira', 'Alto', 'Paraíso', 'todo', 'Estado', 'Rondônia']"
Lucio Mosquini,"['Presidente', 'povo', 'destemido', 'pioneiro', 'Estado', 'Rondônia', 'desbravou', 'região', 'família', 'respeito', 'eleitores']"
Luiz Cláudio,"['gostaria', 'hoje', 'domingo', 'população', 'brasileira', 'estános', 'assistindo', 'votar', 'projetos', 'tirar', 'lama', 'Agora', 'respeito', 'família', 'Rondônia', 'eleitores', 'Rolim', 'Moura', 'todas', 'cidades', 'campo', 'Estado', 'Rondônia', 'vou', 'votar', 'Presidente']"
Marcos Rogério,"['Presidente', 'demonstrada', 'existência', 'crime', 'responsabilidade', 'contra', 'corrupção', 'estrutural', 'sistêmica', 'ofende', 'probidade', 'administração', 'contra', 'desgoverno', 'favor', 'rondonienses', 'brasileiros', 'impeachment']"
Mariana Carvalho,"['Pelo', 'resgate', 'dignidade', 'sonhos', 'resgate', 'autoestima', 'povo', 'brasileiro', 'juventude', 'futuro', 'novas', 'gerações', 'povo', 'Rondônia', 'Porto', 'Velho', 'digo', 'impeachment']"
Marinha Raupp,"['Pela', 'história', 'consciência', 'querida', 'amada', 'população', 'BR-429', 'momento', 'externar', 'gratidão', 'Ministra', 'Dilma', 'Rousseff', 'tirou', 'população', 'sofrimento', 'partido', 'unificação', 'famílias', 'partidos', 'política', 'povo', 'Rondônia', 'juventude', 'mulheres', 'Presidente']"
Nilton Capixaba,"['Pelos', 'eleitores', 'cidade', 'Cacoal', 'família', 'evangélicos', 'Estado', 'Rondônia', 'futuro']"
Alexandre Baldy,"['Presidente', 'neste', 'momento', 'histórico', 'vivo', 'agradeço', 'Deus', 'ter', 'oportunidade', 'ajudar', 'povo', 'limpar', 'País', 'mazelas', 'corrupção', 'malfeitos', 'Pela', 'esposa', 'filho', 'filha', 'toda', 'família', 'toda', 'Nação', 'cidade', 'acolheu', 'Anápolis', 'Goiás']"
Célio Silveira,"['Presidente', 'querida', 'Luziânia', 'Entorno', 'Brasília', 'tanto', 'precisa', 'ação', 'governamental', 'médicos', 'brasileiros', 'tão', 'perseguidos', 'desgoverno', 'bravo', 'honrado', 'povo', 'Goiás', 'Daianne', 'Mateus', 'Adrianne', 'muda']"
Daniel Vilela,"['Presidente', 'falo', 'nome', 'maioria', 'goianos', 'Ressaltando', 'papel', 'cabe', 'Casa', 'julgar', 'admissibilidade', 'entendo', 'elementos', 'suficientes', 'prosseguimento', 'ação', 'Portanto']"
Delegado Waldir,"['Pátria', 'amada', 'Pátria', 'amada', 'filho', 'Delegado', 'Waldir', 'foge', 'luta', 'Por', 'ti', 'Goiânia', 'querida', 'ti', 'Goiás', 'País', 'Deus', 'família', 'famílias', 'pessoas', 'bem', 'Fora', 'Dilma', 'Fora', 'Lula', 'Fora', 'PT']"
Fábio Souza,"['Presidente', 'família', 'filhos', 'Estêvão', 'Amanda', 'esposa', 'pais', 'Estado', 'Goiás', 'futuro', 'digo', 'Viva']"
Flávia Morais,"['Que', 'Deus', 'abençoe', 'País', 'neste', 'momento', 'tão', 'difícil', 'Com', 'todo', 'respeito', 'posicionamento', 'partido', 'atendendo', 'apelo', 'povo', 'Goiás', 'povo', 'Trindade', 'Presidente', 'impeachment']"
Giuseppe Vecci,"['Com', 'esperança', 'retomada', 'desenvolvimento', 'País', 'Goiás']"
Heuler Cruvinel,"['Por', 'melhor', 'decente', 'futuro', 'filhos', 'fim', 'corrupção', 'fichas-sujas', 'querida', 'Rio', 'Verde', 'Estado', 'Goiás', 'impeachment', 'Presidente']"
João Campos,"['Presidente', 'Deus', 'abençoe', 'País', 'Que', 'Deus', 'misericórdia', 'Nação', 'Na', 'defesa', 'Estado', 'Democrático', 'Direito', 'contra', 'corrupção', 'impunidade', 'contra', 'violência', 'insegurança', 'defesa', 'vida', 'família', 'Goiás', 'família', 'dignidade', 'povo', 'brasileiro', 'esperança', 'dias', 'melhores', 'Presidente']"
Jovair Arantes,"['Presidente', 'disse', 'relatório', 'povo', 'Estado', 'Goiás', 'povo', 'brasileiro', 'juventude', 'brasileira', 'merece', 'nova', 'chance', 'Esta', 'nova', 'chance', 'peço', 'povo', 'brasileiro', 'através', 'trabalho', 'respeite', 'partir', 'agora', 'Parlamento', 'sempre', 'defendeu', 'povo', 'Câmara', 'Deputados', 'República', 'Federativa', 'Um', 'abraço', 'Meu']"
Lucas Vergilio,"['Pela', 'filha', 'Manuela', 'vai', 'nascer', 'sobrinha', 'Helena', 'futuro', 'todas', 'crianças', 'jovens', 'País', 'todos', 'corretores', 'seguros', 'especial', 'todo', 'povo', 'goiano', 'Viva']"
Magda Mofatto,"['Por', 'Nação', 'livre', 'trabalhadores', 'querido', 'Estado', 'Goiás', 'querida', 'Caldas', 'Novas', 'todos', 'confiaram', 'mim', '120', 'mil', 'eleitores', 'puseram', 'nome', 'urna']"
Marcos Abrão,"['Por', 'todos', 'têm', 'onde', 'morar', 'todos', 'brasileiros', 'sonhos', 'frustrados', 'todas', 'famílias', 'Estado', 'Goiás', 'filha', 'vai', 'crescer', 'País', 'melhor', 'onde', 'pai', 'cresceu']"
Pedro Chaves,"['Presidente', 'bela', 'fundamentação', 'jurídica', 'relatório', 'Deputado', 'Jovair', 'Arantes', 'expectativa', 'confiança', 'crescimento', 'socioeconômico', 'País', 'admissibilidade']"
Roberto Balestra,"['Presidente', 'coerência', 'oito', 'mandatos', 'nesta', 'Casa', 'votando', 'segunda', 'vez', 'impeachment', 'mãe', 'casa', '93', 'anos', 'infelizmente', 'ausência', 'pai', 'família', 'esposa', 'filhos', 'netos', 'primeiro', 'bisneto', 'impeachment']"
Rubens Otoni,"['Pelos', 'trabalhadores', 'trabalhadoras', 'defesa', 'democracia', 'justiça', 'social', 'consciente', 'contra', 'golpe']"
Thiago Peixoto,"['Presidente', 'impeachment', 'golpe', 'Toda', 'democracia', 'sólida', 'possibilita', 'impeachment', 'impeachment', 'seráo', 'primeiro', 'passo', 'resgate', 'País', 'fim', 'retrocesso', 'Pelo', 'Estado', 'Goiás', 'esposa', 'Paula', 'Presidente']"
Alberto Fraga,"['Presidente', '342', 'votos', '342', 'votos', 'daria', 'salvar', 'País', 'dessa', 'corrupção', 'dessa', 'ladroagem', 'chama', 'PT']"
Augusto Carvalho,"['Presidente', 'respeito', 'Constituição', 'Brasileira', 'ajudei', 'escrever', '1988', 'respeito', 'opinião', 'povo', 'Distrito', 'Federal', 'País', 'contra', 'corrupção', 'contra', 'dilapidação', 'empresas', 'estatais', 'fundos', 'pensão', 'favor', 'novo', 'tempo']"
Erika Kokay,"['Por', 'haver', 'saída', 'democracia', 'homenagem', 'povo', 'brasileiro', 'carrega', 'marcas', 'ausência', 'democracia', 'pele', 'alma', 'contra', 'corrupção', 'sentada', 'Presidência', 'desta', 'sessão', 'contra', 'golpe', 'traição', 'defesa', 'direitos', 'defesa', 'democracia', 'contra', 'golpe']"
Izalci,"['Em', 'respeito', 'Constituição', 'homenagem', 'família', 'eleitores', 'homenagem', 'aniversário', 'cidade', '56', 'anos', 'Capital', 'República', 'homenagem', 'povo', 'brasileiro', 'Fora', 'Dilma', 'Impeachment']"
Laerte Bessa,"['Presidente', 'desculpe-me', 'PR', 'partido', 'mãezinha', 'Melanie', 'três', 'filhas', 'neto', 'comprometido', 'segurança', 'pública', 'Fora', 'PT']"
Rogério Rosso,"['Presidente', 'pais', 'desde', 'cedo', 'ensinaram', 'mim', 'irmão', 'irmã', 'ninguém', 'nessa', 'vida', 'melhor', 'ninguém', 'Em', 'homenagem', 'ordenamento', 'jurídico', 'brasileiro', 'permite', 'ampla', 'defesa', 'homenagem', 'Estado', 'Democrático', 'Direito', 'permite', 'estar', 'democraticamente', 'homenagem', 'harmonia', 'independência', 'Poderes', 'pilar', 'fundamental', 'sistema', 'homenagem', 'povo', 'Distrito', 'Federal', 'recebe', 'todos', 'sempre', 'braços', 'abertos', 'família', 'Presidente']"
Ronaldo Fonseca,"['Presidente', 'medo', 'ter', 'esperança', 'convicção', 'Constituição', 'Federal', 'ampara', 'sessão', 'povo', 'brasileiro', 'Distrito', 'Federal', 'nação', 'evangélica', 'cristã', 'paz', 'Jerusalém']"
Rôney Nemer,"['Para', 'famílias', 'Distrito', 'Federal', 'entorno', 'voltem', 'sonhar', 'voltem', 'acreditar', 'geração', 'emprego', 'voltem', 'acreditar', 'País', 'jeito', 'impeachment']"
Alan Rick,"['Presidente', 'eleito', 'Estado', 'jurei', 'acima', 'tudo', 'respeitar', 'honrar', 'vontade', 'eleitor', 'respeito', 'vontade', 'hoje', 'impeachment']"
Angelim,"['Em', 'respeito', 'Constituição', 'defesa', 'democracia', 'povo', 'brasileiro']"
César Messias,"['Olhem', 'aonde', 'chegamos', 'Tira', 'Dilma', 'entra', 'Temer', 'Tira', 'Temer', 'entra', 'Cunha', 'Tira', 'Cunha', 'entra', 'Renan', 'Que', 'Voto']"
Flaviano Melo,"['Pelo', 'querido', 'Estado', 'Acre', 'peemedebistas', 'sempre', 'acompanharam', 'democracia', 'futuro', 'deste', 'País', 'filhos', 'netos']"
Jéssica Sales,"['Presidente', 'primeiramente', 'quero', 'agradecera', 'Deus', 'agradecer', 'pai', 'Wagner', 'Sales', 'mãe', 'Antônia', 'Sales', 'pois', 'mostraram', 'desde', 'cedo', 'bom', 'político', 'anda', 'lado', 'povo', 'Portanto', 'Pelo', 'Estado', 'Acre', 'Cruzeiro', 'Sul', 'Vale', 'Juruá']"
Leo de Brito,"['Em', 'respeito', 'democracia', 'respeito', 'soberania', '54', 'milhões', 'brasileiros', 'respeito', 'Constituição', 'luta', 'melhor', 'recuar', 'cair', 'temer', 'golpe', 'Presidente']"
Rocha,"['Presidente', 'contrário', 'muitos', 'querem', 'fazer', 'crer', 'eleição', 'dá', 'direito', 'saquear', 'Por', 'País', 'melhor', 'esperança', 'população', 'novo', 'futuro', 'novas', 'gerações', 'favor', 'família', 'Estado', 'Acre', 'impeachment', 'Fora', 'PT', 'Fora', 'roubalheira']"
Sibá Machado,"['Presidente', 'falar', 'democracia', 'tentar', 'aplicar', 'golpe', 'Estado', 'mínimo', 'hipocrisia', 'Por', 'trabalhadora', 'conseguiu', 'ter', 'carteira', 'assinada', 'trabalhador', 'conseguiu', 'colocar', 'filho', 'universidade', 'cidadão', 'conseguiu', 'colocar', 'filho', 'Harvard', 'MIT', 'trabalhador', 'rural', 'recebeu', 'energia', 'elétrica', 'casa', 'fim', 'hipocrisia', 'Presidente']"
Carlos Henrique Gaguim,"['Pela', 'família', 'amigos', 'melhor', 'Estado', 'Tocantins', 'Palmas']"
César Halum,"['Para', 'devolver', 'esperança', 'povo', 'brasileiro', 'povo', 'Estado', 'Tocantins', 'especialmente', 'cidade', 'Araguarina', 'memória', 'irmão', 'João', 'Halum', 'ensinou', 'combater', 'corrupção']"
Dulce Miranda,"['Presidente', 'toda', 'convicção', 'conhecer', '139', 'Municípios', 'Estado', 'Tocantins', 'melhor', 'todos', 'dignidade']"
Irajá Abreu,"['Pelo', 'Estado', 'Tocantins', 'respeito', 'democracia', 'respeito', '54', 'milhões', 'brasileiros', 'elegeram', 'democraticamente', 'Presidente', 'Dilma', 'Rousseff']"
Josi Nunes,"['Presidente', 'legalidade', 'moralidade', 'retomada', 'crescimento', 'todos']"
Lázaro Botelho,"['Pelo', 'respeito', 'Partido', 'Progressista', 'respeito', 'Estado', 'Tocantins', 'recuperação', 'economia', 'brasileira']"
Professora Dorinha Seabra Rezende,"['Pela', 'democracia', 'tranquilidade', 'consciência', 'plena', 'Tocantins', 'família']"
Vicentinho Júnior,"['Presidente', 'falar', 'moralidade', 'falar', 'boa', 'política', 'tão', 'fácil', 'neste', 'microfone', 'Gosto', 'ver', 'prática', 'Estado', 'Tocantins', 'Venho', 'Estado', 'duas', 'vezes', 'história', 'tristeza', 'ver', 'dois', 'governos', 'cerceados', 'meio', 'mandato', 'primeiro', 'sinal', 'Governador', 'PMDB', 'cassado', 'satisfeito', 'novamente', 'reincidena', 'Suprema', 'Corte', 'Brasília', 'Na', 'segunda', 'vez', '...', 'Não', 'temo', 'gritaria', 'Respeito', 'todos', 'outro', 'segunda', 'vez', 'afastado', 'sei', 'prática', 'povo', 'instituições', 'Em', 'respeito', 'popular', 'respeito', 'segurança', 'instituições']"
Adilton Sachetti,"['Pelo', 'Estado', 'Mato', 'Grosso', 'querida', 'Rondonópolis', 'família', 'especial', 'mulher', 'neste', 'momento', 'luta', 'vida']"
Carlos Bezerra,"['Presidente', 'saí', 'cadeia', 'ditadura', 'há50', 'anos', 'fundar', 'MDB', 'Sou', 'membro', 'Direção', 'Nacional', 'PMDB', 'partido', 'praticamente', 'unanimidade', 'apoiando', 'Portanto']"
Fabio Garcia,"['Presidente', 'justo', 'mudança', 'retomada', 'esperança', 'novo', 'caminho', 'Mato', 'Grosso', 'tanto', 'amo', 'milhões', 'brasileiros', 'ruas', 'mato-grossenses']"
Nilson Leitão,"['Meus', 'colegas', 'Deputados', 'Deputadas', 'todos', 'partidos', 'chegou', 'hoje', 'juízo', 'final', 'luta', 'quase', 'ano', 'dizendo', 'impeachment', 'ocorrer', 'Que', 'Deus', 'ilumine', 'País', 'Pela', 'Pátria', 'unida', 'porque', 'ninguém', 'vai', 'dividir', 'nome', 'família', 'Mato', 'Grosso', 'cidade', 'Sinop', 'Pátria']"
Professor Victório Galli,"['Presidente', 'nome', 'família', 'nome', 'Estado', 'Mato', 'Grosso', 'nome', 'nome', 'povo', 'cristão', 'detesta', 'corrupção', 'Já', 'dizia', 'Olavo', 'Carvalho', 'década', '90', 'PT', 'daria', 'PT', 'Perda', 'Total']"
Ságuas Moraes,"['Presidente', 'Mato', 'Grosso', 'tudo', 'Lula', 'Dilma', 'fizeram', 'País', 'democracia', 'contra', 'golpe']"
Tampinha,"['Presidente', '1992', 'nesta', 'Casa', 'votei', 'junto', 'povo', 'brasileiro', 'Pelo', 'povo', 'honrado', 'Mato', 'Grosso', 'Governador', 'Pedro', 'Taques', 'homem', 'sério', 'honesto', 'família', 'Curvo', 'pai', 'completa', '100', 'anos', 'ano', 'esposa', 'neto', 'memória', 'dois', 'filhos', 'falecidos', 'Rodolfo', 'Roland']"
Valtenir Pereira,"['Presidente', 'nobres', 'pares', 'vou', 'votar', 'acordo', 'ordem', 'jurídica', 'Se', 'chegar', 'Plenário', 'processo', 'impeachment', 'contra', 'Vice-Presidente', 'Michel', 'Temer', 'fundamento', 'deste', 'processo', 'impeachment', 'adianto', 'vou', 'votar', 'contra', 'Então', 'Presidente', 'nobres', 'pares', 'impeachment']"
Alex Manente,"['Presidente', 'honra', 'iniciar', 'votação', 'Estado', 'forte', 'País', 'Em', 'respeito', 'família', 'honrar', 'futuro', 'filhas', 'ter', 'fé', 'País', 'trago', 'representação', 'maiores', 'regiões', 'País', 'grande', 'ABC', 'paulista', 'Trago', 'bandeira', 'cidade', 'São', 'Bernardo', 'Campo', 'São', 'Bernardo', 'impeachment', 'Presidente']"
Alexandre Leite,"['Presidente', 'saúdo', 'brasileiros', 'saúdo', 'Estado', 'São', 'Paulo', 'querida', 'Zona', 'Sul', 'impedimento', 'Presidente', 'Dilma', 'Vana', 'Rousseff', 'Tchau', 'querida']"
Ana Perugini,"['Deputadas', 'Deputados', 'trabalhadoras', 'trabalhadores', 'ouvindo', 'juventude', 'democrática', 'democracia', 'jovem', 'pode', 'ser', 'ferida', 'morte', 'neste', 'Parlamento', 'deveria', 'defendê-la', 'Pela', 'democracia', 'País', 'soberania', 'popular', 'Presidente']"
Andres Sanchez,"['Presidente', 'primeiro', 'mandato', 'Meu', 'filhos', 'nunca', 'quiseram', 'entrasse', 'política', 'maioria', 'corintianos', 'infelizmente', 'entrei', 'Que', 'decepção', 'Meu']"
Antonio Bulhões,"['Presidente', 'jamais', 'aceitaria', 'fazer', 'parte', 'golpe', 'Com', 'consciência', 'processo', 'seguiu', 'rigorosamente', 'todos', 'princípios', 'constitucionais', 'Que', 'Deus', 'abençoe']"
Arlindo Chinaglia,"['Presidente', 'demais', 'pares', 'caminho', 'curto', 'garantir', 'vontade', 'popular', 'representar', 'povo', 'brasileiro', 'respeitar', 'resultado', 'eleições', 'segurança', 'deste', 'processo', 'égarantida', 'Constituição', 'Então', 'defesa', 'democracia', 'defesa', 'Constituição', 'defesa', 'homens', 'mulheres', 'ruas', 'hoje', 'sempre', 'ruas', 'defesa', 'democracia']"
Arnaldo Faria de Sá,"['Pela', 'segunda', 'vez', 'vou', 'votar', 'impeachment', 'dúvida', 'nenhuma', 'acompanhando', 'aposentados', 'pensionistas', 'idosos', 'querem', 'vote', 'dessa', 'maneira', 'Pela', 'recuperação', 'economia', 'brasileira', 'combate', 'recessão', 'garantia', 'emprego', '10', 'milhões', 'trabalhadores', 'desempregados']"
Arnaldo Jardim,"['Presidente', 'homenagem', 'PPS', 'neste', 'processo', 'todo', 'altivo', 'firme', 'decidido', 'homenagem', 'grande', 'brasileiro', 'Presidente', 'nacional', 'Deputado', 'Roberto', 'Freire', 'homenagem', 'setor', 'ativo', 'inovador', 'gerador', 'renda', 'setor', 'agropecuário', 'epara', 'venha', 'governo', 'reconstrução', 'nacional', 'vença', 'hoje', 'Presidente']"
Baleia Rossi,"['Hoje', 'dia', 'devolvermos', 'esperança', 'povo', 'brasileiro', 'Em', 'respeito', 'Constituição', 'Federal', 'respeito', '208', 'mil', 'eleitores', 'deram', 'oportunidade', 'estar', 'São', 'Paulo', 'Que', 'Deus', 'abençoe', 'País']"
Beto Mansur,"['Presidente', 'existe', 'nada', 'democrático', 'fazendo', 'segunda', 'vez', 'votando', 'impeachment', 'Presidente', 'Presidente', 'Dilma', 'Rousseff', 'vai', 'receber', 'impeachment', 'desta', 'Casa', 'porque', 'incompetente', 'administrativamente', 'porque', 'relação', 'política', 'Congresso', 'Nacional', 'Nós', 'precisamos', 'recuperar', 'certeza', 'Michel', 'Temer', 'vamos', 'fazer']"
Bruna Furlan,"['Saquearam', 'República', 'hoje', 'resgataremos', 'esperança', 'povo', 'brasileiro', 'Pela', 'querida', 'cidade', 'Barueri', 'família', 'Sim', 'processo', 'impeachment', 'Presidente', 'Dilma']"
Bruno Covas,"['Presidente', 'aprendi', 'diante', 'adversidades', 'três', 'atitudes', 'possíveis', 'enfrentar', 'combater', 'vencer', 'vamos', 'vencer', 'venho', 'hoje', 'dar', 'voz', 'todos', 'paulistas', 'anônimos', 'ruas', 'dizer', 'basta']"
Capitão Augusto,"['Presidente', 'futuro', 'filho', 'Breno', 'família', 'cidade', 'Ourinhos', 'região', 'querida', 'Polícia', 'Militar', 'Estado', 'São', 'Paulo', 'honestidade', 'ética', 'homenagem', 'policiais', 'militares', 'deram', 'vida', 'sociedade', 'impeachment']"
Carlos Sampaio,"['Brasileiros', 'brasileiras', 'decência', 'sobreponha', 'Governo', 'moralmente', 'desonesto']"
Carlos Zarattini,"['Contra', 'golpe', 'defesa', 'democracia', 'defesa', 'direitos', 'trabalhadores', 'defesa', 'direito', 'aposentados', 'defesa', 'petróleo', 'pré-sal', 'homenagem', 'juventude', 'paulista', 'ocupou', 'dezenas', 'escolas', 'trabalhadores', 'rua', 'defesa', 'democracia']"
Celso Russomano,"['Presidente', 'Estado', 'Estado', 'São', 'Paulo', 'deu', 'honra', 'ser', 'Deputado', 'votado', '1.524.286', 'votos', 'Não', 'poderia', 'forma', 'nenhuma', 'forma', 'nenhuma', 'fazer', 'povo', 'Estado', 'decepcionasse', 'comigo', 'Pelo', 'Estado', 'família', 'brasileira', 'família', 'filhos', 'geração', 'filhos', 'geração', 'netos', 'impeachment', 'Presidente']"
Dr. Sinval Malheiros,"['Meu', 'querido', 'Presidente', 'colegas', 'Deputados', 'representantes', 'Estado', 'São', 'Paulo', 'Estou', 'solidário', 'população', 'brasileira', 'paulista', 'grandes', 'dificuldades', 'Na', 'saúde', 'Santas', 'Casas', 'fechando', 'endividadas', 'médicos', 'enfermeiros', 'passando', 'dificuldades', 'Em', 'relação', 'estudantes', 'FIES', 'comprometido', 'muitos', 'bons', 'estudantes', 'conseguem', 'estudar', 'Quanto', 'desemprego', 'setor', 'sucroalcooleiro', 'região', 'setor', 'sempre', 'gerou', 'emprego', 'hoje', 'grande', 'dificuldade', 'Em', 'decorrência', 'todos', 'fatores', 'acho', 'dar', 'ânimo', 'nova', 'esperança', 'povo', 'brasileiro', 'Votamos']"
Duarte Nogueira,"['Presidente', 'Parlamentares', 'brasileiros', 'reencontro', 'deste', 'País', 'maravilhoso', 'esperança', 'porque', 'aguenta', 'tanta', 'afronta', 'Constituição', 'mentiras', 'impunidade', 'corrupção', 'família', 'filhos', 'pais', 'ensinaram', 'valores', 'princípios', 'paulistas', 'especial', 'terra', 'natal', 'brasileiros', 'impeachment']"
Edinho Araújo,"['Presidente', 'Parlamentares', 'celebrando', 'Constituição', 'Cidadã', 'Ulysses', 'Guimarães', 'liberdades', 'individuais', 'povo', 'ruas', 'fortalecimento', 'instituições', 'brasileiras', 'São', 'Paulo', 'São', 'José', 'Rio', 'Preto', 'região', 'futuras', 'gerações', 'renovar', 'esperanças', 'povo', 'brasileiro', 'pedindo', 'Deus', 'abençoe', 'País']"
Eduardo Bolsonaro,"['Pelo', 'povo', 'São', 'Paulo', 'ruas', 'espírito', 'revolucionários', '1932', 'respeito', '59', 'milhões', 'votos', 'contra', 'Estatuto', 'Desarmamento', '2005', 'militares', '1964', 'hoje', 'sempre', 'polícias', 'nome', 'Deus', 'família', 'brasileira', 'Lula', 'Dilma', 'cadeia']"
Eduardo Cury,"['Sob', 'proteção', 'Deus', 'representando', 'Vale', 'Paraíba', 'apoio', 'Juiz', 'Sergio', 'Moro', 'garotos', 'Lava-Jato', 'defesa', 'valores', 'liberdade', 'respeito', 'valores', 'individuais', 'pode', 'ser', 'favor', 'impeachment']"
Eli Corrêa Filho,"['Contra', 'corrupção', 'deste', 'País', 'futuro', 'filhas', 'Sophia', 'Luna', 'todos', 'brasileiros', 'Guarulhos', 'São', 'Paulo', 'impeachment']"
Evandro Gussi,"['Presidente', 'momento', 'silenciarmos', 'voz', 'coração', 'ouvirmos', 'voz', 'vem', 'urnas', 'inundadas', 'verde-amarelo', 'favor', 'São', 'Paulo', 'especialmente', 'oeste', 'Presidente', 'registro', 'Deputado', 'Mendes', 'Thame', 'suplente', 'nesta', 'ocasião', 'votaria', 'Presidente']"
Fausto Pinato,"['Presidente', 'Deputados', 'momento', 'País', 'escolheu', 'bandeira', 'vermelha', 'viu', 'errou', 'quer', 'novamente', 'verde-amarelo', 'ordem', 'progresso', 'Esse', 'povo', 'aí', 'veio', 'Venezuela', 'veio', 'Coreia', 'Norte', 'queria', 'nome', 'família', 'nome', 'região', 'noroeste', 'Estado', 'São', 'Paulo', 'cidade', 'natal', 'votar', 'registrar', 'William', 'Woo', 'suplente', 'votaria', 'forte', 'independente', 'corrupção']"
Flavinho,"['Cumprindo', 'obrigação', 'constitucional', 'legislador', 'fiscalizador', 'acolho', 'denúncia', 'juristas', 'apresentada', 'contra', 'Presidente', 'Dilma', 'Rousseff', 'Também', 'fazendo', 'julgamento', 'político', 'creio', 'melhor', 'Governo', 'País', 'Mas', 'Presidente', 'todo', 'respeito', 'institucional', 'V.Exa', '.', 'espero', 'Casa', 'coerência', 'fazer', 'processo', 'contra', 'V.Exa', 'progrida', 'Casa', 'passada', 'limpo', 'Pelo', 'Estado', 'honra', 'família']"
Floriano Pesaro,"['Presidente', 'respeito', 'eleitores', 'respeito', 'povo', 'paulista', 'País', 'justo', 'humano', 'solidário', 'ético', 'sob', 'proteção', 'Grande', 'Arquiteto', 'Universo', 'Floriano', 'Pesaro', 'suplente', 'Mendes', 'Thame', 'votamos', 'impedimento', 'Presidente', 'Dilma']"
